主订单编号,支付方式,选购商品,商品ID,商品数量,商品金额,订单提交时间,支付完成时间,订单状态,取消原因,售后状态,订单类型,订单应付金额,优惠总金额,平台优惠,商家优惠
"	6953302085810525814","	抖音支付",电动万向飞机灯光音效模型益智早教玩具科学实验【自备3节5号电池-蓝色礼盒装（电池自备）,"	3795780801002602983",1,12.99,"	2026-05-31 22:37:25","	2026-05-31 22:37:27",已发货,,-,普通订单,12.99,0.00,-,-
"	6953300248308160123","	微信",新款网红泡泡机吹泡泡手持灯光不漏液不挂泡新款智能-蓝太空人泡泡机【10包泡泡液】,"	3808931702940762455",1,13.99,"	2026-05-31 19:51:17","	2026-05-31 19:51:29",已发货,,-,普通订单,13.99,0.00,-,-
"	6926775560361639642","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-05-31 08:36:33","	2026-05-31 08:36:45",已发货,,-,普通订单,14.99,0.00,-,-
"	6926745461242428923","	抖音支付",电动万向飞机灯光音效模型益智早教玩具科学实验【自备3节5号电池-红色礼盒装（电池自备）,"	3795780801002602983",1,12.99,"	2026-05-30 08:00:01","	2026-05-30 08:00:06",已发货,,-,普通订单,12.90,0.00,-,-
"	6926723055617539579","	抖音支付",电动万向飞机灯光音效模型益智早教玩具科学实验【自备3节5号电池-红色礼盒装（电池自备）,"	3795780801002602983",1,12.99,"	2026-05-29 17:42:33",,已关闭,用户超时未支付自动取消,-,普通订单,12.90,0.00,-,-
"	6953221680169751930","	抖音支付",可爱小黄鸭按压式回力车玩具适合的摩托车造型-1只装,"	3795779804494692466",1,3.99,"	2026-05-28 15:31:51","	2026-05-28 15:31:53",已发货,,-,普通订单,0.99,3.00,平台回归礼券-3.00,-
"	6926649231554411818","	抖音支付",新款吹泡泡乒乓泡泡专用泡泡液-乒乓球拍泡泡专用泡泡液【6瓶】,"	3810392835874750497",1,9.99,"	2026-05-26 20:23:48","	2026-05-26 20:23:50",已发货,,-,普通订单,9.99,0.00,-,-
"	6953161341389640734","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-05-26 17:52:38","	2026-05-26 17:52:48",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,17.99,0.00,-,-
"	6953104723270243669","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-05-25 12:18:46","	2026-05-25 12:18:54",已发货,,-,普通订单,17.99,0.00,-,-
"	6953131206888527189","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-05-25 09:38:50","	2026-05-25 09:39:41",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,17.99,0.00,-,-
