动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-03-03 02:38:51,'2026030302384501314163472628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924506434714893548,'6924506434714893548,'SS76119391562933581160189,2026-02-26 08:35:44,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,7.34,0,0,2.65,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-03 03:42:07,'2026030303420338467177472628,入账,9.79,聚合账户,货款结算入账,小店自卖,'6950864942923257221,'6950864942923257221,'SS76118433736371899280177,2026-02-24 20:35:35,'3796351544073519123,电动牵绳小马声光跳萌宠益智早教启蒙科学实验【自备2节5号电池,,,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,否,0,广州斌立科技有限公司,订单结算
2026-03-03 04:57:59,'2026030304575538100344512628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950912651892298920,'6950912651892298920,'SS76118395434333680900185,2026-02-27 07:52:48,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-03 05:56:17,'2026030305561320764761662628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924492938427596214,'6924492938427596214,'SS76119400490469788700083,2026-02-26 08:41:59,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,8.99,0,0,1,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 01:41:28,'2026030401412502648973202628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924499743313657513,'6924499743313657513,'SS76122443903962975150046,2026-02-26 08:28:17,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 01:59:51,'2026030401594607443297642628,入账,18.98,聚合账户,货款结算入账,精选联盟,'6950904490783478875,'6950904490783478875,'SS76122098461436810760101,2026-02-26 09:15:56,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,19.98,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 02:27:35,'2026030402272912467899382628,入账,4.74,聚合账户,货款结算入账,精选联盟,'6950911074034783683,'6950911074034783683,'SS76121245524042225020116,2026-02-26 07:08:24,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,-5,-0.25,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 03:34:22,'2026030403341934240929712628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950895592641795618,'6950895592641795618,'SS76121479598579387400041,2026-02-26 08:51:55,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 04:06:06,'2026030404060135202173902628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950907043059144254,'6950907043059144254,'SS76121327053587090340221,2026-02-26 09:00:17,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 04:20:02,'2026030404195819344755832628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950906999484192084,'6950906999484126548,'SS76121863016680491670018,2026-02-26 08:31:14,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 04:39:29,'2026030404392636035016192628,入账,14.24,聚合账户,货款结算入账,精选联盟,'6950930098451059885,'6950930098451059885,'SS76122718453702661630070,2026-02-27 08:23:57,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,14.99,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 04:40:22,'2026030404402032298442872628,入账,18.98,聚合账户,货款结算入账,精选联盟,'6950897962544207532,'6950897962544207532,'SS76120800562505976700026,2026-02-26 09:05:05,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,19.98,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 04:40:48,'2026030404404520180218982628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950913491489330383,'6950913491489330383,'SS76121410532441666940233,2026-02-26 07:43:35,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 05:39:15,'2026030405391219013801372628,入账,14.24,聚合账户,货款结算入账,精选联盟,'6950915044022818550,'6950915044022818550,'SS76122802794160625000161,2026-02-27 08:25:36,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,14.99,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 06:30:50,'2026030406304314858330062628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950886796191274402,'6950886796191274402,'SS76121735279874542230219,2026-02-26 09:07:00,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 07:58:18,'2026030407581531969774182628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924520783708323371,'6924520783708323371,'SS76122804347092383240111,2026-02-27 08:04:49,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
