主订单编号,支付方式,选购商品,商品ID,商品数量,商品金额,订单提交时间,支付完成时间,订单完成时间,订单状态,取消原因,售后状态,订单类型,订单应付金额,优惠总金额,平台优惠
"	6951714281147013081","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 18:35:41","	2026-03-31 18:35:43",,已发货,,-,普通订单,14.99,0.00,-
"	6925259552230178543","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 17:25:15",,,已关闭,用户超时未支付自动取消,-,普通订单,14.99,0.00,-
"	6925274631103348232","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 16:15:33","	2026-03-31 16:15:44",,已发货,,-,普通订单,9.79,5.20,余额抵扣金额-5.20
"	6925270286941257526","	抖音支付",七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-30包浓缩液【袋子颜色随机】,"	3796349154066825652",1,8.99,"	2026-03-31 15:57:24","	2026-03-31 15:57:26",,已关闭,,七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-退款成功,普通订单,7.55,1.44,平台抽红包惊喜券-1.44
"	6925257082388511820","	抖音月付",七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-30包浓缩液【袋子颜色随机】,"	3796349154066825652",3,8.99,"	2026-03-31 14:59:16","	2026-03-31 14:59:21",,已发货,,-,普通订单,26.97,0.00,-
"	6925257082388511820","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 14:59:16","	2026-03-31 14:59:21",,已发货,,-,普通订单,14.99,0.00,-
"	6951698418395715355","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 11:36:01","	2026-03-31 11:36:09",,已发货,,-,普通订单,12.99,0.00,-
"	6951722410796586935","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:23:26","	2026-03-31 10:23:45",,已发货,,-,普通订单,14.99,0.00,-
"	6925246202658193371","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:23:24","	2026-03-31 10:23:34",,已发货,,-,普通订单,14.99,0.00,-
"	6925255255865392631","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:23:09","	2026-03-31 10:23:18",,已发货,,-,普通订单,14.99,0.00,-
"	6925256352372129729","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:22:47","	2026-03-31 10:22:54",,已发货,,-,普通订单,12.99,0.00,-
"	6925256350760271120","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:22:22",,,已关闭,用户超时未支付自动取消,-,普通订单,14.99,0.00,-
"	6925260488512863436","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:22:18","	2026-03-31 10:22:25",,已发货,,-,普通订单,14.99,0.00,-
"	6925252680993373993","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:22:04","	2026-03-31 10:22:05",,已发货,,-,普通订单,14.99,0.00,-
"	6951702558914254378","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:21:01","	2026-03-31 10:21:01",,已发货,,-,普通订单,12.99,0.00,-
